Store Name,Planogram,Aisle,Bay,Element Name,Element Type,Brand,Facings,WKT Geometry,Z Order,Sales Last 12 Months
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Bay Frame 01,Rack,,,"POLYGON ((0 0, 1.6 0, 1.6 2.2, 0 2.2, 0 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Bay Frame 02,Rack,,,"POLYGON ((1.6 0, 3.2 0, 3.2 2.2, 1.6 2.2, 1.6 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Bay Frame 03,Rack,,,"POLYGON ((3.2 0, 4.8 0, 4.8 2.2, 3.2 2.2, 3.2 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Bay Frame 04,Rack,,,"POLYGON ((4.8 0, 6.4 0, 6.4 2.2, 4.8 2.2, 4.8 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,,Upright 1,Rack,,,"POLYGON ((0 0, 0.025 0, 0.025 2.2, 0 2.2, 0 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,,Upright 2,Rack,,,"POLYGON ((1.575 0, 1.625 0, 1.625 2.2, 1.575 2.2, 1.575 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,,Upright 3,Rack,,,"POLYGON ((3.175 0, 3.225 0, 3.225 2.2, 3.175 2.2, 3.175 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,,Upright 4,Rack,,,"POLYGON ((4.775 0, 4.825 0, 4.825 2.2, 4.775 2.2, 4.775 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,,Upright 5,Rack,,,"POLYGON ((6.375 0, 6.4 0, 6.4 2.2, 6.375 2.2, 6.375 0))",0,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Base Deck - Bay 01,Base Deck,,,"POLYGON ((0 0, 1.6 0, 1.6 0.1, 0 0.1, 0 0))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Wheat Bites 1kg,Product,SunHarvest,3,"POLYGON ((0.035 0.1, 0.755 0.1, 0.755 0.43, 0.035 0.43, 0.035 0.1))",2,6800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Granola Clusters 450g,Product,SunHarvest,2,"POLYGON ((0.767 0.1, 1.147 0.1, 1.147 0.37, 0.767 0.37, 0.767 0.1))",2,6500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Oat Sachets 10pk,Product,SunHarvest,2,"POLYGON ((1.159 0.1, 1.519 0.1, 1.519 0.34, 1.159 0.34, 1.159 0.1))",2,5800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Shelf 1 - Bay 01,Shelf,,,"POLYGON ((0 0.53, 1.6 0.53, 1.6 0.57, 0 0.57, 0 0.53))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Wheat Bites 1kg,Product,SunHarvest,2,"POLYGON ((0.035 0.57, 0.515 0.57, 0.515 0.9, 0.035 0.9, 0.035 0.57))",2,4300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Granola Clusters 450g,Product,SunHarvest,3,"POLYGON ((0.527 0.57, 1.097 0.57, 1.097 0.84, 0.527 0.84, 0.527 0.57))",2,6000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Oat Sachets 10pk,Product,SunHarvest,2,"POLYGON ((1.109 0.57, 1.469 0.57, 1.469 0.81, 1.109 0.81, 1.109 0.57))",2,3800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Shelf 2 - Bay 01,Shelf,,,"POLYGON ((0 1, 1.6 1, 1.6 1.04, 0 1.04, 0 1))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Morning Mills Oat Sachets 10pk,Product,Morning Mills,2,"POLYGON ((0.035 1.04, 0.395 1.04, 0.395 1.28, 0.035 1.28, 0.035 1.04))",2,7100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Toasted Muesli 750g,Product,SunHarvest,3,"POLYGON ((0.407 1.04, 1.037 1.04, 1.037 1.32, 0.407 1.32, 0.407 1.04))",2,9300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Glen Oats Wheat Bites 1kg,Product,Glen Oats,2,"POLYGON ((1.049 1.04, 1.529 1.04, 1.529 1.37, 1.049 1.37, 1.049 1.04))",2,6300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Shelf 3 - Bay 01,Shelf,,,"POLYGON ((0 1.46, 1.6 1.46, 1.6 1.5, 0 1.5, 0 1.46))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,SunHarvest Toasted Muesli 750g,Product,SunHarvest,2,"POLYGON ((0.035 1.5, 0.455 1.5, 0.455 1.78, 0.035 1.78, 0.035 1.5))",2,4200
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Morning Mills Corn Flakes 500g,Product,Morning Mills,3,"POLYGON ((0.467 1.5, 1.067 1.5, 1.067 1.8, 0.467 1.8, 0.467 1.5))",2,7000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Morning Mills Oat Sachets 10pk,Product,Morning Mills,1,"POLYGON ((1.079 1.5, 1.259 1.5, 1.259 1.74, 1.079 1.74, 1.079 1.5))",2,2700
