Store Name,Element Name,Category,Aisle,Bay,WKT Geometry,Z Order,Store Area (sqm),Sales Last 12 Months
FreshMart Banksia Grove,Store Envelope,Store Profile,,,"POLYGON ((0 0, 46 0, 50 4, 50 32, 0 32, 0 0))",0,1592.0,
FreshMart Banksia Grove,Back of House,Back of House,,,"POLYGON ((0 27, 50 27, 50 32, 0 32, 0 27))",1,250.0,
FreshMart Banksia Grove,Customer Service & Lotto,Service Counter,,,"POLYGON ((2 1, 8 1, 8 5, 2 5, 2 1))",1,24.0,
FreshMart Banksia Grove,Register 1,Register,,,"POLYGON ((12 1.5, 13.6 1.5, 13.6 5.5, 12 5.5, 12 1.5))",1,6.4,
FreshMart Banksia Grove,Register 2,Register,,,"POLYGON ((15.6 1.5, 17.2 1.5, 17.2 5.5, 15.6 5.5, 15.6 1.5))",1,6.4,
FreshMart Banksia Grove,Register 3,Register,,,"POLYGON ((19.2 1.5, 20.8 1.5, 20.8 5.5, 19.2 5.5, 19.2 1.5))",1,6.4,
FreshMart Banksia Grove,Register 4,Register,,,"POLYGON ((22.8 1.5, 24.4 1.5, 24.4 5.5, 22.8 5.5, 22.8 1.5))",1,6.4,
FreshMart Banksia Grove,Register 5,Register,,,"POLYGON ((26.4 1.5, 28 1.5, 28 5.5, 26.4 5.5, 26.4 1.5))",1,6.4,
FreshMart Banksia Grove,Register 6,Register,,,"POLYGON ((30 1.5, 31.6 1.5, 31.6 5.5, 30 5.5, 30 1.5))",1,6.4,
FreshMart Banksia Grove,Self-Checkout Pod,Register,,,"POLYGON ((34 1.5, 39.5 1.5, 39.5 5.5, 34 5.5, 34 1.5))",1,22.0,
FreshMart Banksia Grove,Entry Airlock,Entry,,,"POLYGON ((41 1, 46 1, 46 5, 41 5, 41 1))",1,20.0,
FreshMart Banksia Grove,Trolley Bay,Entry,,,"POLYGON ((47 5, 49.5 5, 49.5 10, 47 10, 47 5))",1,12.5,
FreshMart Banksia Grove,Deli & Seafood Counter,Service Counter,,,"POLYGON ((46.5 10, 49.5 10, 49.5 20, 46.5 20, 46.5 10))",1,30.0,
FreshMart Banksia Grove,Bakery Counter,Service Counter,,,"POLYGON ((46.5 20, 49.5 20, 49.5 26, 46.5 26, 46.5 20))",1,18.0,
FreshMart Banksia Grove,Security Podium,Entry,,,POINT (43 6.2),1,,
FreshMart Banksia Grove,Aisle 1 Bay 01,Grocery Bay,Aisle 1,01,"POLYGON ((4 8, 5.3 8, 5.3 9.6, 4 9.6, 4 8))",2,2.08,171100
FreshMart Banksia Grove,Aisle 1 Bay 02,Grocery Bay,Aisle 1,02,"POLYGON ((4 9.6, 5.3 9.6, 5.3 11.2, 4 11.2, 4 9.6))",2,2.08,181700
FreshMart Banksia Grove,Aisle 1 Bay 03,Grocery Bay,Aisle 1,03,"POLYGON ((4 11.2, 5.3 11.2, 5.3 12.8, 4 12.8, 4 11.2))",2,2.08,173800
FreshMart Banksia Grove,Aisle 1 Bay 04,Grocery Bay,Aisle 1,04,"POLYGON ((4 12.8, 5.3 12.8, 5.3 14.4, 4 14.4, 4 12.8))",2,2.08,97000
FreshMart Banksia Grove,Aisle 1 Bay 05,Grocery Bay,Aisle 1,05,"POLYGON ((4 14.4, 5.3 14.4, 5.3 16, 4 16, 4 14.4))",2,2.08,109400
FreshMart Banksia Grove,Aisle 1 Bay 06,Grocery Bay,Aisle 1,06,"POLYGON ((4 16, 5.3 16, 5.3 17.6, 4 17.6, 4 16))",2,2.08,184900
FreshMart Banksia Grove,Aisle 1 Bay 07,Grocery Bay,Aisle 1,07,"POLYGON ((4 17.6, 5.3 17.6, 5.3 19.2, 4 19.2, 4 17.6))",2,2.08,190400
FreshMart Banksia Grove,Aisle 1 Bay 08,Grocery Bay,Aisle 1,08,"POLYGON ((4 19.2, 5.3 19.2, 5.3 20.8, 4 20.8, 4 19.2))",2,2.08,122700
FreshMart Banksia Grove,Aisle 1 Bay 09,Grocery Bay,Aisle 1,09,"POLYGON ((4 20.8, 5.3 20.8, 5.3 22.4, 4 22.4, 4 20.8))",2,2.08,137100
FreshMart Banksia Grove,Aisle 1 Bay 10,Grocery Bay,Aisle 1,10,"POLYGON ((4 22.4, 5.3 22.4, 5.3 24, 4 24, 4 22.4))",2,2.08,144700
FreshMart Banksia Grove,Aisle 1 End Cap South,End Cap,Aisle 1,End S,"POLYGON ((4 6.7, 5.3 6.7, 5.3 8, 4 8, 4 6.7))",2,1.69,197100
